,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
29,MOTO,4.5654858647582,4.6227465499645,-74.086997692401,-74.14933519013,01:50:00,1.8333333333333335,9.406224948167011,5.130668153545642
30,Transmilenio,4.6227465499645,4.7520365147872,-74.14933519013,-74.047907006065,01:10:00,1.1666666666666667,18.26960522878271,15.659661624670893
31,Transmilenio,4.7520365147872,4.6227465499645,-74.047907006065,-74.14933519013,01:10:10,1.1694444444444445,18.26960522878271,15.622465278769061
32,Transmilenio,4.6440475806544,4.6489263517217,-74.165867014489,-74.081502129421,01:20:00,1.3333333333333333,9.376344784297366,7.032258588223025
33,Transmilenio,4.6489263517217,4.6440475806544,-74.081502129421,-74.165867014489,01:20:00,1.3333333333333333,9.376344784297366,7.032258588223025
34,Transmilenio,4.6440475806544,4.6437948128341,-74.165867014489,-74.062063034272,00:46:00,0.7666666666666667,11.517519871556955,15.022852006378635
35,Transmilenio,4.6437948128341,4.6440475806544,-74.062063034272,-74.165867014489,01:00:00,1.0,11.517519871556955,11.517519871556955
36,Transmilenio,4.6440475806544,4.6487881462404,-74.165867014489,-74.079444366226,00:46:00,0.7666666666666667,9.60343039222029,12.526213555069942
37,Transmilenio,4.6487881462404,4.6440475806544,-74.079444366226,-74.165867014489,01:00:00,1.0,9.60343039222029,9.60343039222029
40,"BICICLETA, BICICLETA CON MOTOR",4.6440475806544,4.6425619920317,-74.165867014489,-74.167605302526,01:40:00,1.6666666666666665,0.2540629366986143,0.1524377620191686
41,"BICICLETA, BICICLETA CON MOTOR",4.6425619920317,4.6440475806544,-74.167605302526,-74.165867014489,00:50:00,0.8333333333333334,0.2540629366986143,0.3048755240383371
42,MOTO,4.7174553718569,4.6242956235248,-74.131323967405,-74.076277775596,00:16:00,0.26666666666666666,12.03525753896635,45.13221577112382
43,MOTO,4.6242956235248,4.7174553718569,-74.076277775596,-74.131323967405,00:16:00,0.26666666666666666,12.03525753896635,45.13221577112382
44,Transmilenio,4.6141827198986,4.6096390840277,-74.185213635847,-74.07139179594,02:00:00,2.0,12.639704185074429,6.319852092537214
45,Transmilenio,4.6096390840277,4.6141827198986,-74.07139179594,-74.185213635847,01:50:00,1.8333333333333335,12.639704185074429,6.894384100949688
46,PEATON,4.6227465499645,4.6224791421959,-74.14933519013,-74.151397416274,00:10:00,0.16666666666666666,0.23074766504566332,1.3844859902739801
47,PEATON,4.6224791421959,4.6227465499645,-74.151397416274,-74.14933519013,00:10:00,0.16666666666666666,0.23074766504566332,1.3844859902739801
48,PEATON,4.6227891211967,4.6249330164369,-74.149296554557,-74.148754038125,00:20:00,0.3333333333333333,0.24613216312973507,0.7383964893892052
49,PEATON,4.6249330164369,4.6227891211967,-74.148754038125,-74.149296554557,00:50:00,0.8333333333333334,0.24613216312973507,0.2953585957556821
50,PEATON,4.6240088031383,4.6249330164369,-74.147803736891,-74.148754038125,00:50:00,0.8333333333333334,0.147319760687216,0.17678371282465918
51,PEATON,4.6249330164369,4.6227891211967,-74.148754038125,-74.149296554557,00:21:11,0.3530555555555555,0.24613216312973507,0.6971485344351269
52,PEATON,4.6242339707585,4.6256955833262,-74.153137198781,-74.147845068833,00:55:00,0.9166666666666666,0.6093248485073703,0.6647180165534949
53,PEATON,4.6256955833262,4.6242339707585,-74.147845068833,-74.153137198781,00:39:07,0.6519444444444444,0.6093248485073703,0.9346269512682289
54,PEATON,4.6227465499645,4.6374041418178,-74.14933519013,-74.159658382164,00:24:00,0.4,1.9935816312612609,4.983954078153152
55,TPC-SITP,4.6374041418178,4.6227465499645,-74.159658382164,-74.14933519013,01:00:00,1.0,1.9935816312612609,1.9935816312612609
57,PEATON,4.6228803887253,4.6227465499645,-74.149407812084,-74.14933519013,00:20:55,0.3486111111111111,0.016938335922250167,0.048588055235139926
62,PEATON,4.6227465499645,4.6242339707585,-74.14933519013,-74.153137198781,00:10:00,0.16666666666666666,0.45319212910976586,2.7191527746585953
63,PEATON,4.6242339707585,4.6227465499645,-74.153137198781,-74.14933519013,00:10:00,0.16666666666666666,0.45319212910976586,2.7191527746585953
64,MOTO,4.6273038824025,4.648399240235,-74.154486518355,-74.06103062517,01:05:00,1.0833333333333333,10.631995502132554,9.814149694276205
