"","V1","MEDIO_PREDOMINANTE","LATITUD_ORIGEN","LATITUD_DESTINO","LONGITUD_ORIGEN","LONGITUD_DESTINO","DIFERENCIA_HORAS","tiempo_recorrido","distancia_km","velocidad km/h","RGB"
"851",125959,"MOTO",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:30:00",0.5,11.9446594550428,23.8893189100856,"#FFFF3E"
"852",125979,"AUTO",4.7669769171581,5.0252154,-74.044112958017,-74.0011074,"01:11:00",1.18333333333333,29.1400510988942,24.6253952948402,"#FFFF40"
"853",126225,"INTERMUNICIPAL",4.8648572,5.0252154,-74.047458,-74.0011074,"01:00:00",1,18.5764299597631,18.5764299597631,"#FFFF30"
"854",126229,"INTERMUNICIPAL",4.8087332,5.0252154,-74.1026423,-74.0011074,"01:53:00",1.88333333333333,26.6000646053757,14.123928109049,"#FFFF24"
"855",126247,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"02:00:00",2,11.9446594550428,5.97232972752139,"#FFFF0F"
"856",126254,"INTERMUNICIPAL",4.8648572,5.0252154,-74.047458,-74.0011074,"00:50:00",0.833333333333333,18.5764299597631,22.2917159517158,"#FFFF39"
"857",126259,"AUTO",4.8648572,5.0252154,-74.047458,-74.0011074,"01:00:00",1,18.5764299597631,18.5764299597631,"#FFFF30"
"858",126271,"MOTO",4.8648572,5.0252154,-74.047458,-74.0011074,"00:25:00",0.416666666666667,18.5764299597631,44.5834319034315,"#FFFF73"
"859",126278,"AUTO",4.8648572,5.0252154,-74.047458,-74.0011074,"01:00:00",1,18.5764299597631,18.5764299597631,"#FFFF30"
"860",126297,"Transmilenio",4.7024378453049,5.0252154,-74.023174540206,-74.0011074,"02:48:00",2.8,36.0147489488885,12.8624103388888,"#FFFF21"
"861",126346,"INTERMUNICIPAL",4.9191986,5.0252154,-74.0257644,-74.0011074,"01:10:00",1.16666666666667,12.1144005170963,10.3837718717968,"#FFFF1B"
"862",126350,"AUTO",4.58511155942,5.0252154,-74.2209375353,-74.0011074,"01:13:00",1.21666666666667,54.7254977345867,44.9798611517151,"#FFFF75"
"863",126542,"INTERMUNICIPAL",4.8648572,5.0252154,-74.047458,-74.0011074,"01:37:00",1.61666666666667,18.5764299597631,11.4905752328432,"#FFFF1D"
"864",126544,"AUTO",4.8648572,5.0252154,-74.047458,-74.0011074,"01:00:00",1,18.5764299597631,18.5764299597631,"#FFFF30"
